No.,Scheme_Name,Net_Asset_Value,Outstanding_Number_of_ Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued
9877,Jikimu Fund,24833802357.83,201203223.96,123.4265,123.4265,120.9579,01-03-2017
9876,Watoto Fund,3319707950.26,11719775.98,283.2569,283.2569,280.4244,01-03-2017
9875,Wekeza Maisha Fund,3705921874.6,11633084.88,318.5674,318.5674,312.1961,01-03-2017
9874,Umoja Fund,199729469362.18,414503734.98,482.4176,482.4176,477.5934,01-03-2017
9873,Liquid Fund,11041615867.87,69105667.02,159.7787,159.7787,159.7787,02-03-2017
9872,Jikimu Fund,24763992194.57,200577249.4,123.4636,123.4636,120.9943,02-03-2017
9871,Watoto Fund,3320762814.24,11720746.99,283.3235,283.3235,280.4902,02-03-2017
9870,Wekeza Maisha Fund,3707121479.94,11633869.64,318.649,318.649,312.2761,02-03-2017
9869,Umoja Fund,199729469362.18,413916826.62,482.5353,482.5353,477.7099,02-03-2017
9868,Liquid Fund,11050797060.13,69136964.67,159.8392,159.8392,159.8392,03-03-2017
9867,Jikimu Fund,23788855598.94,192189375.95,123.7782,123.7782,121.3026,03-03-2017
9866,Watoto Fund,3322028341.13,11722317.96,283.3935,283.3935,280.5595,03-03-2017
9865,Wekeza Maisha Fund,3708554387.14,11635386.67,318.7307,318.7307,312.356,03-03-2017
9864,Umoja Fund,199805621372.79,413978731.79,482.6471,482.6471,477.8206,03-03-2017
9863,Liquid Fund,11085617690.53,69273351.74,160.0272,160.0272,160.0272,06-03-2017
9862,Jikimu Fund,23812060543.3,192210785.21,123.8851,123.8851,121.4074,06-03-2017
9861,Watoto Fund,3325068058.2,11724354.02,283.6035,283.6035,280.7675,06-03-2017
9860,Wekeza Maisha Fund,3711877656.03,11636877.52,318.9754,318.9754,312.5959,06-03-2017
9859,Umoja Fund,199956521126.06,414001350.87,482.9852,482.9852,478.1553,06-03-2017
9858,Liquid Fund,11154972094.86,69679532.69,160.0897,160.0897,160.0897,07-03-2017
9857,Jikimu Fund,23820931885.15,192228543.6,123.9198,123.9198,121.4415,07-03-2017
9856,Watoto Fund,3326683866.43,11727157.23,283.6735,283.6735,280.8368,07-03-2017
9855,Wekeza Maisha Fund,3712952150.5,11637269.45,319.057,319.057,312.6758,07-03-2017
9854,Umoja Fund,200034575351.73,414058431.8,483.1071,483.1071,478.276,07-03-2017
9853,Liquid Fund,11217860535.84,70045023.07,160.1521,160.1521,160.1521,08-03-2017
9852,Jikimu Fund,23765070475.3,191690944.68,123.976,123.976,121.4964,08-03-2017
9851,Watoto Fund,3324584009.05,11716837.16,283.7442,283.7442,280.9067,08-03-2017
9850,Wekeza Maisha Fund,3710035148.27,11625136.32,319.1391,319.1391,312.7563,08-03-2017
9849,Umoja Fund,199690554941.67,413251901.32,483.2175,483.2175,478.3853,08-03-2017
9848,Liquid Fund,11222225567.54,70045023.07,160.2145,160.2145,160.2145,09-03-2017
9847,Jikimu Fund,23777421384.76,191735859.66,124.0113,124.0113,121.5311,09-03-2017
9846,Watoto Fund,3325456065.76,11717313.44,283.807,283.807,280.969,09-03-2017
9845,Wekeza Maisha Fund,3711117132.81,11625622.12,319.2188,319.2188,312.8344,09-03-2017
9844,Umoja Fund,199742363922.93,413265530.74,483.3269,483.3269,478.4937,09-03-2017
9843,Liquid Fund,11253597227.95,70213547.14,160.2767,160.2767,160.2767,10-03-2017
9842,Jikimu Fund,23792118444.44,191797920.25,124.0478,124.0478,121.5669,10-03-2017
9841,Watoto Fund,3332092992.97,11737789.3,283.8774,283.8774,281.0386,10-03-2017
